(0.0, 0.0, 0.0),False
(0.0, 0.0, 1.0),False
(0.0, 0.0, 2.0),False
(0.0, 0.0, 3.0),False
(0.0, 0.0, 4.0),False
(0.0, 0.0, 5.0),False
(0.0, 0.0, 6.0),False
(0.0, 0.0, 7.0),False
(0.0, 0.0, 8.0),False
(1.0, 0.0, 0.0),True
(1.0, 0.0, 1.0),True
(1.0, 0.0, 2.0),True
(1.0, 0.0, 3.0),True
(1.0, 0.0, 4.0),True
(1.0, 0.0, 5.0),False
(1.0, 0.0, 6.0),False
(1.0, 0.0, 7.0),False
(1.0, 0.0, 8.0),False
(2.0, 0.0, 0.0),False
(2.0, 0.0, 1.0),False
(2.0, 0.0, 2.0),False
(2.0, 0.0, 3.0),False
(2.0, 0.0, 4.0),False
(2.0, 0.0, 5.0),False
(2.0, 0.0, 6.0),False
(2.0, 0.0, 7.0),False
(2.0, 0.0, 8.0),False
(3.0, 0.0, 0.0),False
(3.0, 0.0, 1.0),False
(3.0, 0.0, 2.0),False
(3.0, 0.0, 3.0),False
(3.0, 0.0, 4.0),False
(3.0, 0.0, 5.0),False
(3.0, 0.0, 6.0),False
(3.0, 0.0, 7.0),False
(3.0, 0.0, 8.0),False
(4.0, 0.0, 0.0),False
(4.0, 0.0, 1.0),False
(4.0, 0.0, 2.0),False
(4.0, 0.0, 3.0),False
(4.0, 0.0, 4.0),False
(4.0, 0.0, 5.0),False
(4.0, 0.0, 6.0),False
(4.0, 0.0, 7.0),False
(4.0, 0.0, 8.0),False
(5.0, 0.0, 0.0),False
(5.0, 0.0, 1.0),False
(5.0, 0.0, 2.0),False
(5.0, 0.0, 3.0),False
(5.0, 0.0, 4.0),False
(5.0, 0.0, 5.0),False
(5.0, 0.0, 6.0),False
(5.0, 0.0, 7.0),False
(5.0, 0.0, 8.0),False
(6.0, 0.0, 0.0),False
(6.0, 0.0, 1.0),False
(6.0, 0.0, 2.0),False
(6.0, 0.0, 3.0),False
(6.0, 0.0, 4.0),False
(6.0, 0.0, 5.0),False
(6.0, 0.0, 6.0),False
(6.0, 0.0, 7.0),False
(6.0, 0.0, 8.0),False
(7.0, 0.0, 0.0),False
(7.0, 0.0, 1.0),False
(7.0, 0.0, 2.0),False
(7.0, 0.0, 3.0),False
(7.0, 0.0, 4.0),False
(7.0, 0.0, 5.0),False
(7.0, 0.0, 6.0),False
(7.0, 0.0, 7.0),False
(7.0, 0.0, 8.0),False
(8.0, 0.0, 0.0),False
(8.0, 0.0, 1.0),False
(8.0, 0.0, 2.0),False
(8.0, 0.0, 3.0),False
(8.0, 0.0, 4.0),False
(8.0, 0.0, 5.0),False
(8.0, 0.0, 6.0),False
(8.0, 0.0, 7.0),False
(8.0, 0.0, 8.0),False
